Point,Corner,Vds,Vgs,temperature,Pass/Fail,gm_n,gm_p,ids_n,ids_p,rds_n,rds_p
5,C0_76,1.8,993.1e-3,-50,,218.8e-6,154e-6,68.29e-6,-34.49e-6,26.36e3,52.18e3
5,C0_77,1.8,1.055,-50,,230.7e-6,135e-6,82.25e-6,-25.52e-6,21.88e3,70.53e3
5,C0_78,1.8,1.117,-50,,240.3e-6,114.5e-6,96.87e-6,-17.77e-6,18.58e3,101.3e3
5,C0_79,1.8,1.179,-50,,247.9e-6,92.54e-6,112e-6,-11.34e-6,16.07e3,158.8e3
5,C0_80,1.8,1.241,-50,,253.7e-6,68.76e-6,127.6e-6,-6.322e-6,14.11e3,284.7e3
5,C0_81,1.8,1.303,-50,,257.8e-6,43.24e-6,143.5e-6,-2.84e-6,12.55e3,633.7e3
5,C0_82,1.8,1.366,-50,,260.5e-6,19.49e-6,159.5e-6,-923.1e-9,11.28e3,1.95e6
5,C0_83,1.8,1.428,-50,,261.9e-6,5.528e-6,175.7e-6,-210.1e-9,10.24e3,8.567e6
5,C0_84,1.8,1.49,-50,,262.3e-6,1.113e-6,192e-6,-35.23e-9,9.375e3,51.1e6
5,C0_85,1.8,1.552,-50,,261.7e-6,153.5e-9,208.3e-6,-4.005e-9,8.643e3,449.4e6
5,C0_86,1.8,1.614,-50,,260.3e-6,13.62e-9,224.5e-6,-321.8e-12,8.019e3,5.594e9
5,C0_87,1.8,1.676,-50,,258.2e-6,966.6e-12,240.5e-6,-22.15e-12,7.483e3,81.27e9
5,C0_88,1.8,1.738,-50,,255.5e-6,64.05e-12,256.5e-6,-1.456e-12,7.018e3,1.236e12
5,C0_89,1.8,1.8,-50,,252.3e-6,4.169e-12,272.2e-6,-94.59e-15,6.612e3,19.03e12
5,C1_0,0,0,0,,0,0,0,-0,inf,inf
5,C1_1,0,62.07e-3,0,,0,0,0,-0,inf,inf
5,C1_2,0,124.1e-3,0,,0,0,0,-0,inf,inf
5,C1_3,0,186.2e-3,0,,0,0,0,-0,inf,inf
5,C1_4,0,248.3e-3,0,,0,0,0,-0,inf,inf
5,C1_5,0,310.3e-3,0,,0,0,0,-0,inf,inf
5,C1_6,0,372.4e-3,0,,0,0,0,-0,inf,inf
5,C1_7,0,434.5e-3,0,,0,0,0,-0,inf,inf
5,C1_8,0,496.6e-3,0,,0,0,0,-0,inf,inf
5,C1_9,0,558.6e-3,0,,0,0,0,-0,inf,inf
5,C1_10,0,620.7e-3,0,,0,0,0,-0,inf,inf
5,C1_11,0,682.8e-3,0,,0,0,0,-0,inf,inf
